0.73
"class4","p"
"nonevent","0.212430925818536"
"nonevent","0.0482554465721721"
"II","0.981093641384715"
"Ib","0.973024541114517"
"nonevent","0.0368619689256192"
"Ib","0.727083929950622"
"Ib","0.992638984043977"
"Ib","0.996113573116517"
"nonevent","0.000193396978004245"
"nonevent","0.499374835012637"
"II","0.971663127026388"
"Ib","0.996327788503607"
"nonevent","0.00539961325253913"
"II","0.960595441131008"
"Ib","0.988504242953538"
"Ia","0.912874295555723"
"Ia","0.773461288899303"
"Ia","0.960057111107426"
"II","0.765722665668574"
"Ib","0.725053962248515"
"nonevent","2.02107887904424e-05"
"nonevent","0.419349151442791"
"nonevent","7.14716198579879e-06"
"nonevent","0.0465739654765902"
"nonevent","0.0484657366145043"
"Ia","0.849406633099592"
"nonevent","0.00915638042079681"
"Ia","0.666111676788628"
"nonevent","0.0568728189945906"
"nonevent","0.31935794549791"
"nonevent","0.000144529158223827"
"Ia","0.588429659148052"
"nonevent","0.000862570683660246"
"Ib","0.997555221021864"
"Ib","0.99123624422551"
"Ia","0.847453927903235"
"nonevent","0.347912231075222"
"nonevent","0.161921326307808"
"Ia","0.753105841404032"
"nonevent","0.0001023439398804"
"II","0.974161661895938"
"nonevent","0.168296146916118"
"nonevent","0.0440708967437364"
"nonevent","0.00226085067957593"
"Ib","0.584672836822817"
"II","0.926760719961512"
"nonevent","7.90699727915012e-11"
"Ia","0.664836054329257"
"II","0.903883909031387"
"nonevent","0.000333373114363433"
"II","0.947306109811798"
"Ib","0.995391327748709"
"nonevent","0.00170543424927716"
"nonevent","5.37342388978734e-05"
"Ib","0.990874664803365"
"Ib","0.996472402736927"
"II","0.981577613887243"
"Ib","0.987322666342632"
"nonevent","0.082433151497564"
"II","0.913639476276198"
"Ib","0.997331300377083"
"Ia","0.833782339706336"
"Ib","0.725156029654233"
"nonevent","0.170423197619631"
"II","0.957521377941534"
"nonevent","0.0536800797958558"
"II","0.989518239967932"
"II","0.991538352633098"
"II","0.883850145693434"
"Ia","0.539264500188934"
"Ib","0.895847826858532"
"II","0.935977988956271"
"Ib","0.995315091240641"
"Ib","0.998286884302659"
"Ib","0.973736169409735"
"II","0.988682606804256"
"Ia","0.736514687775131"
"nonevent","0.0118755258922147"
"Ia","0.638636509768453"
"nonevent","0.00379174465993892"
"Ib","0.996898973898391"
"Ib","0.958445267040383"
"Ib","0.997472508546242"
"nonevent","0.377013372694586"
"nonevent","0.00256013282731704"
"nonevent","0.113529925679773"
"nonevent","0.00465511885865288"
"Ib","0.997905685327456"
"Ia","0.693768919441209"
"nonevent","0.453708294404002"
"II","0.897644853325083"
"II","0.994386056011735"
"II","0.53440875268879"
"nonevent","0.000282841286050495"
"II","0.983637289974662"
"nonevent","0.0258016453238451"
"nonevent","0.0212255487028543"
"nonevent","0.00195757847116107"
"nonevent","0.0907881305609672"
"nonevent","0.0125790087296866"
"Ib","0.997258122879081"
"Ib","0.982048445536664"
"II","0.802947956111199"
"Ib","0.996932441020185"
"nonevent","0.0210177914888066"
"Ib","0.997819566634341"
"nonevent","0.00203209175564389"
"Ia","0.980844451890654"
"Ib","0.979902830959904"
"Ib","0.994560645222258"
"II","0.965908999864876"
"nonevent","0.391600423985159"
"II","0.967791344400629"
"Ia","0.657096156421423"
"nonevent","0.0197029638919599"
"Ib","0.930009586456935"
"Ib","0.990364733077283"
"II","0.97256373716598"
"nonevent","0.000112930985269544"
"nonevent","0.327695239656478"
"nonevent","0.375899217322418"
"II","0.951968878154956"
"II","0.86386239041427"
"nonevent","0.00891899223316739"
"II","0.86851554146942"
"II","0.986425142170426"
"nonevent","0.0214287052552681"
"II","0.987350090911856"
"II","0.968057091167239"
"nonevent","0.00101984913802189"
"nonevent","0.0452396619645061"
"II","0.599163721874662"
"nonevent","0.0133957293925304"
"II","0.824731159799229"
"nonevent","0.230164285665839"
"II","0.949203926676399"
"nonevent","0.0294618108132596"
"nonevent","0.453283563710909"
"nonevent","0.212955842658739"
"nonevent","0.12187750215082"
"nonevent","0.0794825747621316"
"II","0.953798529157646"
"nonevent","0.381033843483474"
"Ib","0.991007664426395"
"Ia","0.875994370451078"
"nonevent","0.00950245889920343"
"nonevent","0.137956787103767"
"nonevent","8.12940192016498e-05"
"II","0.96805608818423"
"nonevent","0.00033978663019163"
"Ia","0.939448107415456"
"nonevent","0.208375261558421"
"II","0.989741626076711"
"II","0.50984196973785"
"Ib","0.98857129373432"
"nonevent","0.341959782806857"
"Ib","0.994176276630748"
"nonevent","0.385898009390443"
"Ia","0.897106786104569"
"nonevent","0.0213125031264026"
"Ib","0.92544715467746"
"II","0.926099834716771"
"nonevent","0.0147390835644048"
"nonevent","0.0267727765671044"
"II","0.966782461969652"
"nonevent","0.0214905150873763"
"Ia","0.520063643655064"
"nonevent","3.42022532517916e-09"
"Ib","0.98559205762683"
"nonevent","7.16838749484916e-05"
"nonevent","0.00323489317538384"
"II","0.877182708471582"
"Ia","0.56756464920348"
"nonevent","0.00264349725761237"
"nonevent","0.396572971478837"
"Ib","0.997780498024891"
"Ib","0.986713104579545"
"II","0.937876409742341"
"nonevent","0.0200240138323781"
"nonevent","0.000352922434300407"
"nonevent","0.343519225039407"
"nonevent","0.000655373803764903"
"II","0.93554355093354"
"II","0.545569562457976"
"nonevent","0.025944555781911"
"nonevent","0.00490527023326803"
"Ib","0.996533604494487"
"II","0.903320299329004"
"nonevent","0.0317933107399665"
"II","0.517214197689699"
"nonevent","0.00439579618794017"
"nonevent","0.176819658292342"
"II","0.985376431113786"
"II","0.954775359546763"
"Ia","0.779650835965833"
"Ib","0.998152325803876"
"II","0.901383759346878"
"II","0.962985490911532"
"Ia","0.550156545507154"
"nonevent","0.00412215677079331"
"nonevent","0.304030391676632"
"II","0.881215661088453"
"nonevent","0.177743860666377"
"nonevent","0.0361929603348654"
"nonevent","0.0536135775175134"
"nonevent","0.184672609427655"
"nonevent","0.000237773914434358"
"Ib","0.990482604147438"
"Ib","0.97878029443528"
"Ia","0.614786802603109"
"nonevent","0.0350971060477214"
"nonevent","0.381622480741816"
"nonevent","0.00141523708584756"
"nonevent","0.0122609544306446"
"nonevent","0.0171557321427683"
"nonevent","0.0320593688394536"
"nonevent","0.152618681066962"
"nonevent","0.0356400629263706"
"nonevent","0.463454273611402"
"nonevent","0.00306706735905049"
"II","0.825720355721859"
"nonevent","0.00707074676442521"
"nonevent","0.000116713543534042"
"II","0.929772471232593"
"nonevent","0.36649620693859"
"Ia","0.751982071408825"
"nonevent","3.54954273417141e-05"
"nonevent","0.300251506558165"
"Ib","0.998139246739562"
"Ia","0.723339977903382"
"Ib","0.998370607545912"
"nonevent","4.07394090017332e-05"
"nonevent","0.467275032538625"
"nonevent","0.000123469869133808"
"nonevent","2.34997653596469e-05"
"nonevent","0.305301091670932"
"II","0.88185577047739"
"Ib","0.993609091682619"
"II","0.979352614463595"
"II","0.997966055099936"
"nonevent","0.000839522250096758"
"Ib","0.950399576093026"
"nonevent","0.0888611087846248"
"II","0.985673267654796"
"nonevent","0.012344031617419"
"Ib","0.988161455317944"
"nonevent","0.00341906784032153"
"II","0.84035965023879"
"nonevent","0.0069855569102738"
"nonevent","0.0074611621910079"
"II","0.681282731020167"
"nonevent","0.169224332135773"
"Ib","0.960110136657217"
"II","0.984310854031227"
"nonevent","0.0178675971786806"
"II","0.587423571307148"
"Ib","0.993780135030434"
"nonevent","0.000687658487316223"
"nonevent","0.291811599377102"
"II","0.965813383450745"
"nonevent","0.000140309157666829"
"Ia","0.733492363964089"
"II","0.737148296768629"
"II","0.942071406194186"
"II","0.98314427085006"
"nonevent","1.82250192291011e-05"
"II","0.975755878402087"
"nonevent","0.0578030370689052"
"nonevent","8.37857551835297e-05"
"nonevent","0.0157379304387819"
"nonevent","0.450001743802209"
"nonevent","0.0235144203729272"
"nonevent","0.314092728635694"
"II","0.992178795627947"
"II","0.989555314584482"
"II","0.848251610231742"
"II","0.976123902699288"
"nonevent","0.00154547121917836"
"Ib","0.997664083658318"
"Ia","0.688380009515468"
"nonevent","0.196652640763277"
"nonevent","0.00905965292342203"
"nonevent","0.0666944009433571"
"Ia","0.602697967682305"
"nonevent","0.176929084569272"
"nonevent","0.000674596161311491"
"nonevent","6.89824900539371e-05"
"II","0.902067622543257"
"II","0.668587613501425"
"II","0.979509762711636"
"nonevent","0.00712197424030292"
"II","0.785938149149379"
"nonevent","0.00897938120357777"
"nonevent","0.000722734711045891"
"Ib","0.977813708919178"
"Ia","0.746993704119967"
"nonevent","0.000416376983886413"
"nonevent","0.415334676588911"
"nonevent","0.0350658719760479"
"Ia","0.74418034368367"
"nonevent","1.00195179075779e-06"
"II","0.925926746959061"
"Ib","0.97233827888008"
"nonevent","9.34771160809866e-07"
"Ib","0.997118404722399"
"nonevent","0.422328279197718"
"II","0.920340157331291"
"Ib","0.955730074068734"
"II","0.687534613310096"
"Ia","0.738712152266588"
"Ib","0.99263336328367"
"nonevent","0.11062291456376"
"nonevent","0.00208983742150592"
"nonevent","0.133814223521342"
"II","0.975391416780543"
"Ib","0.989514600746228"
"II","0.936684217423687"
"nonevent","0.425299402044233"
"nonevent","0.00063723714356545"
"nonevent","7.99497363600521e-05"
"Ib","0.997478191314633"
"Ib","0.997671045916095"
"II","0.966111302143041"
"nonevent","0.000228813113678172"
"II","0.631980765849295"
"Ib","0.99719030441756"
"nonevent","0.431451299520062"
"II","0.885156237161465"
"nonevent","0.0224976861680725"
"II","0.716202582562698"
"nonevent","0.0799495561436027"
"II","0.968501635702862"
"II","0.923530079470115"
"Ib","0.997651625745304"
"II","0.864460753262929"
"nonevent","0.0249227671488136"
"nonevent","0.00325453409571408"
"Ib","0.99480097949178"
"Ia","0.836475006747488"
"II","0.643637047608082"
"Ia","0.839854317278215"
"II","0.943224318513751"
"Ib","0.79771958338007"
"II","0.921796923371944"
"II","0.835531197283482"
"nonevent","0.265087987513301"
"nonevent","0.0211355718543745"
"II","0.976144517649661"
"nonevent","0.00462138401412049"
"Ia","0.929224985482054"
"nonevent","0.460635054278632"
"nonevent","0.00944804014931899"
"II","0.506230270692062"
"Ib","0.921840127110175"
"nonevent","0.451254803258357"
"nonevent","0.00283599349214114"
"nonevent","0.147765241844623"
"II","0.502870325356599"
"nonevent","0.238763652531573"
"II","0.761692233234732"
"II","0.555356647497724"
"Ib","0.99887207004715"
"Ib","0.998553664161188"
"nonevent","0.00377734295784771"
"nonevent","0.112630808913871"
"II","0.927825944813411"
"nonevent","0.291792829669979"
"Ia","0.844078976529972"
"nonevent","0.230648761297103"
"Ia","0.844777336414011"
"nonevent","0.00188969785517945"
"II","0.898922962197528"
"II","0.971336423088868"
"nonevent","0.340733428773418"
"nonevent","0.0496082574984866"
"nonevent","0.0940156851372193"
"II","0.950535285872315"
"nonevent","0.0767215964097553"
"II","0.949565802596777"
"II","0.899936975891999"
"Ib","0.894008157586776"
"Ia","0.965178634965056"
"II","0.969080401690876"
"nonevent","1.91322564109253e-05"
"nonevent","0.18545380147638"
"nonevent","0.000801321191645998"
"nonevent","0.131344440338743"
"nonevent","0.327372564610714"
"nonevent","0.334445767195009"
"nonevent","0.00558951567621613"
"II","0.873769128037899"
"II","0.712195596682518"
"Ib","0.984520236558008"
"nonevent","0.409100638008039"
"Ib","0.992252141275901"
"nonevent","0.00708099241687432"
"nonevent","0.245572044826194"
"Ib","0.991828630735816"
"Ib","0.996486487520042"
"II","0.978017724225193"
"II","0.983790415325776"
"Ib","0.995545536062378"
"Ib","0.996592811626394"
"nonevent","0.371823636457416"
"II","0.993251673813504"
"nonevent","0.000384589619539244"
"II","0.979029348242478"
"Ib","0.99828657811602"
"nonevent","0.212514810453433"
"nonevent","0.0198814728922857"
"II","0.55524723637235"
"II","0.969108507414342"
"nonevent","0.255303203816877"
"Ib","0.998431228087344"
"Ia","0.927204564804918"
"nonevent","0.117772155467281"
"Ib","0.988704094575184"
"Ib","0.99750590843232"
"nonevent","0.316209390650795"
"II","0.828511084041472"
"nonevent","0.469442716915866"
"nonevent","0.000783645433224289"
"II","0.956541643206304"
"Ib","0.998041706744474"
"II","0.994987401840318"
"nonevent","0.436707353421654"
"nonevent","0.055004283400743"
"nonevent","0.0135676268049861"
"nonevent","0.499874095280896"
"nonevent","0.232323197398655"
"nonevent","0.000125548609292814"
"Ia","0.974382859205948"
"Ia","0.782308871733693"
"II","0.524758203893437"
"II","0.921676592811168"
"nonevent","0.427303163641646"
"nonevent","0.0179867850133432"
"nonevent","0.0782038752854437"
"II","0.988316927068493"
"nonevent","0.000134175234193123"
"II","0.980878775010501"
"II","0.554803401868641"
"Ia","0.920342296543197"
"II","0.711532213214576"
"nonevent","0.407147130573782"
"Ia","0.950320991867786"
"Ib","0.984779397251545"
"Ia","0.514602670672633"
"II","0.898766366289898"
"nonevent","0.460523098911194"
"nonevent","0.411510464163653"
"Ia","0.905327855741617"
"nonevent","0.00193816468573471"
"II","0.888644689091681"
"II","0.819853216785876"
"nonevent","0.000177973405718901"
"Ib","0.963480015128556"
"Ib","0.997122238977166"
"nonevent","0.00290131323351472"
"II","0.976154998679047"
"nonevent","0.00292669261814271"
"nonevent","0.0270307470482335"
"nonevent","0.00099216230344612"
"Ia","0.924695431719644"
"nonevent","0.347483588209071"
"nonevent","0.492098359136184"
"Ib","0.973774522254179"
"II","0.782820888343344"
"II","0.865698240603765"
"nonevent","0.00377212778992253"
"nonevent","0.202182497773828"
"II","0.691229634812103"
"nonevent","2.28757637772414e-05"
"II","0.949573553040717"
"nonevent","0.0367452686692622"
"Ib","0.988813327814206"
"II","0.988256905238312"
"Ia","0.602125900506722"
"nonevent","0.149388126927649"
"nonevent","0.305279596599631"
"nonevent","0.0603779434736585"
"nonevent","0.00143208471098422"
"Ia","0.672515227850729"
"Ib","0.978940835408763"
"nonevent","0.00771515974893888"
"Ib","0.99755256746381"
"II","0.955561973818425"
"nonevent","8.09525573454151e-05"
"nonevent","0.000532834831571183"
"II","0.992923464288316"
"nonevent","0.000225532129277228"
"nonevent","0.360747221557889"
"nonevent","0.00613203271486074"
"Ib","0.930612489660672"
"Ia","0.824270680065272"
"nonevent","0.39544994032633"
"II","0.898718126313679"
"II","0.938852794918025"
"nonevent","0.0808611990006982"
"nonevent","0.241160379627972"
"nonevent","0.00137062213778627"
"nonevent","0.0411448303513663"
"Ib","0.996166100276147"
"II","0.990383975921786"
"Ib","0.998844481689213"
"Ib","0.989256982215522"
"II","0.762054703508176"
"II","0.793151784899006"
"Ib","0.956645333257874"
"nonevent","0.101251414242377"
"Ia","0.619059507018151"
"nonevent","1.5998607461265e-05"
"II","0.975434931460011"
"Ia","0.620488673501314"
"II","0.954425026568569"
"II","0.817791491303295"
"nonevent","0.000953165193334327"
"nonevent","0.239090112311778"
"nonevent","0.00132538571155594"
"Ib","0.998868753503637"
"nonevent","0.102912697121826"
"nonevent","0.000570189157633738"
"nonevent","0.00258426797949696"
"Ib","0.959025028599612"
"nonevent","0.282160690362099"
"II","0.724959249818144"
"II","0.903107682283274"
"nonevent","0.00217556752881543"
"Ia","0.914578322018991"
"nonevent","0.000446305143687376"
"nonevent","0.000656310645498426"
"Ib","0.99826590519551"
"Ia","0.560191074118838"
"II","0.917146205107455"
"Ib","0.995542628847898"
"nonevent","0.108761672028372"
"II","0.523789814318216"
"nonevent","2.67684091805886e-05"
"II","0.98268003691965"
"Ib","0.995384866589535"
"nonevent","0.408161684010367"
"Ib","0.946754856333019"
"Ia","0.645671166048386"
"nonevent","0.00526922819081121"
"Ib","0.977081885326362"
"nonevent","0.019546896711251"
"nonevent","0.0196827066968454"
"nonevent","0.0382537969961213"
"nonevent","0.269120557789915"
"nonevent","0.154387126494797"
"nonevent","0.00881849284217417"
"Ia","0.968311100821799"
"nonevent","0.496905128701573"
"II","0.898767471027025"
"Ib","0.997851508519193"
"II","0.927941921689711"
"nonevent","0.449886969621264"
"nonevent","0.0457283956187803"
"nonevent","0.000959366446286358"
"Ib","0.97840547936988"
"Ib","0.982209621177678"
"II","0.970142343333394"
"Ia","0.624846786856773"
"Ia","0.613509568102595"
"nonevent","0.357133179945032"
"nonevent","0.455775308450654"
"II","0.882533483019166"
"II","0.529772648103891"
"Ib","0.993521402084883"
"II","0.976808499988552"
"nonevent","0.000286015882766333"
"nonevent","0.0302129004981894"
"II","0.900234605573061"
"nonevent","0.000808989109310154"
"Ib","0.976583816574544"
"nonevent","0.00490098601359923"
"II","0.975959637793382"
"Ia","0.525772720588536"
"Ia","0.966073288766309"
"nonevent","0.0161353432030339"
"Ia","0.70274156292316"
"Ia","0.732219398638247"
"Ia","0.53879672432187"
"nonevent","0.205941834831649"
"nonevent","0.0411685225888188"
"II","0.894490016360066"
"Ia","0.517160757795587"
"nonevent","0.338764026800592"
"II","0.989670956301328"
"nonevent","0.0530586166942223"
"nonevent","4.14354723876631e-06"
"nonevent","0.0142733609027502"
"nonevent","7.9919922859939e-05"
"nonevent","0.228586326192173"
"nonevent","0.379845670920004"
"II","0.517312826350562"
"nonevent","4.16649113021972e-05"
"nonevent","0.443957345109308"
"nonevent","0.141060929972363"
"II","0.625643979502261"
"II","0.778565030099933"
"Ib","0.996590399382663"
"nonevent","1.07750895039782e-05"
"II","0.939607912204644"
"Ia","0.821597374319328"
"Ia","0.788000130577451"
"nonevent","0.0217113115877124"
"nonevent","0.105915994436856"
"Ia","0.817731460305615"
"nonevent","0.00647644775179246"
"II","0.978896343363059"
"nonevent","0.258096247996627"
"nonevent","7.08964017831493e-05"
"nonevent","0.0371660022473435"
"Ib","0.988159771607017"
"nonevent","2.96007444171575e-05"
"nonevent","0.0103205705269913"
"nonevent","0.207199567713914"
"nonevent","0.000913686086972398"
"nonevent","0.147220741513177"
"II","0.850066278232654"
"Ib","0.997430301204064"
"nonevent","0.441467154733399"
"Ia","0.642185494865797"
"Ib","0.991463405096414"
"nonevent","5.58352932288342e-05"
"Ib","0.9955026060144"
"II","0.983555975680804"
"Ia","0.83103293095364"
"II","0.561480510329269"
"II","0.955790163460207"
"nonevent","0.321549621874182"
"nonevent","0.353157340236529"
"II","0.978346075794372"
"II","0.930026548287008"
"II","0.960294364712415"
"nonevent","0.000162819905281775"
"II","0.691562252280725"
"nonevent","0.00450261640016569"
"nonevent","0.0207621410698974"
"II","0.957598469101661"
"nonevent","0.0936398738715009"
"nonevent","0.00304743838521193"
"nonevent","0.324831110613594"
"II","0.790140573339807"
"nonevent","2.91915638631624e-05"
"nonevent","0.021351280853432"
"Ib","0.943603394119168"
"II","0.830483676925199"
"nonevent","0.489740503196004"
"II","0.734672787495533"
"nonevent","7.18071070316961e-05"
"Ib","0.996342870619619"
"II","0.973428525289585"
"II","0.937022741733435"
"nonevent","0.1700946498495"
"Ib","0.984272981288339"
"Ia","0.588624200630468"
"II","0.990498818025468"
"Ib","0.980628742635621"
"nonevent","0.390434840256852"
"Ia","0.585862421226471"
"II","0.98324560099812"
"Ib","0.987259191087381"
"nonevent","0.000109329181477658"
